exp_id|topic_id|topic
18|3|Seeps, Vents, & Volcanoes
18|4|Seafloor Mapping
18|5|Technology
17|1|Canyon & Seamount Habitats
17|3|Seeps, Vents, & Volcanoes
17|4|Seafloor Mapping
17|5|Technology
17|6|Marine Archeaology
16|1|Canyon & Seamount Habitats
16|2|Coral Communities
16|3|Seeps, Vents, & Volcanoes
16|4|Seafloor Mapping
16|5|Technology
15|1|Canyon & Seamount Habitats
15|4|Seafloor Mapping
15|5|Technology
15|6|Marine Archeaology
14|1|Canyon & Seamount Habitats
14|4|Seafloor Mapping
14|5|Technology
14|6|Marine Archeaology
13|4|Seafloor Mapping
13|5|Technology
12|2|Coral Communities
12|5|Technology
11|2|Coral Communities
11|5|Technology
10|2|Coral Communities
10|5|Technology
9|5|Technology
8|3|Seeps, Vents, & Volcanoes
8|4|Seafloor Mapping
8|5|Technology
7|7|Arctic
6|5|Technology
6|6|Marine Archeaology
5|5|Technology
5|6|Marine Archeaology
4|5|Technology
3|3|Seeps, Vents, & Volcanoes
3|4|Seafloor Mapping
3|5|Technology
2|5|Technology
2|6|Marine Archeaology
1|5|Technology
1|6|Marine Archeaology
